State,Date,Time,City,Vehicle_Type,Junction_Type,Peak_Hour,Weather_Condition,Lane_Count,Accident_Reported,Traffic_Light_Status,Day_Type,Congestion_Level,Vehicle_Count,Avg_Speed_km_h,Traffic_Situation,Road_Type
Haryana,01-01-2025,6.00,Sonipat,Two-Wheeler,Roundabout,No,Rain,3,Yes,Amber,Weekday,Low,55,34,Accident,Highway
Haryana,01-01-2025,6.15,Yamunanagar,Truck,Crossroad,No,Cloudy,6,Yes,Amber,Weekday,Low,543,23,Accident,Rural Road
Haryana,01-01-2025,6.30,Ambala,Two-Wheeler,Crossroad,No,Cloudy,2,Yes,Red,Weekday,High,155,65,Congested,Rural Road
Haryana,01-01-2025,6.45,Gurugram,Auto,T-Junction,No,Rain,2,Yes,Amber,Weekday,High,580,21,Accident,Rural Road
Haryana,01-01-2025,7.00,Kurukshetra,Two-Wheeler,Roundabout,No,Cloudy,2,No,Amber,Weekday,Low,120,43,Accident,Urban Road
Haryana,01-01-2025,7.15,Panipat,Car,Roundabout,No,Clear,2,No,Red,Weekday,High,171,36,Accident,Urban Road
Haryana,01-01-2025,7.30,Hisar,Auto,Crossroad,No,Cloudy,4,Yes,Green,Weekday,High,97,68,Accident,Rural Road
Haryana,01-01-2025,7.45,Gurugram,Bus,Roundabout,No,Rain,3,No,Green,Weekday,Medium,299,68,Normal,Rural Road
Haryana,01-01-2025,8.00,Faridabad,Truck,Crossroad,Yes,Cloudy,4,Yes,Red,Weekday,Medium,269,47,Accident,Rural Road
Haryana,01-01-2025,8.15,Rohtak,Auto,Crossroad,Yes,Fog,6,No,Amber,Weekday,Low,181,30,Accident,Rural Road
Haryana,01-01-2025,8.30,Yamunanagar,Car,Crossroad,Yes,Rain,6,Yes,Amber,Weekday,Severe,117,64,Congested,Urban Road
Haryana,01-01-2025,8.45,Panipat,Truck,Crossroad,Yes,Fog,6,No,Green,Weekday,Severe,450,45,Congested,Urban Road
Haryana,01-01-2025,9.00,Kurukshetra,Auto,T-Junction,Yes,Fog,5,No,Red,Weekday,Severe,130,28,Congested,Urban Road
Haryana,01-01-2025,9.15,Kurukshetra,Car,Roundabout,Yes,Cloudy,2,No,Red,Weekday,Low,351,70,Accident,Urban Road
Haryana,01-01-2025,9.30,Yamunanagar,Two-Wheeler,Crossroad,Yes,Clear,2,No,Amber,Weekday,Low,147,61,Accident,Highway
Haryana,01-01-2025,9.45,Sonipat,Auto,T-Junction,Yes,Rain,6,No,Red,Weekday,High,409,29,Accident,Rural Road
Haryana,01-01-2025,10.00,Karnal,Bus,Roundabout,No,Clear,6,Yes,Green,Weekday,Severe,279,20,Accident,Rural Road
Haryana,01-01-2025,10.15,Gurugram,Truck,T-Junction,No,Sunny,6,No,Red,Weekday,Severe,457,23,Accident,Rural Road
Haryana,01-01-2025,10.30,Ambala,Car,T-Junction,No,Cloudy,3,Yes,Green,Weekday,Severe,353,61,Accident,Highway
Haryana,01-01-2025,10.45,Karnal,Two-Wheeler,Crossroad,No,Sunny,6,No,Amber,Weekday,Severe,470,41,Congested,Rural Road
Haryana,01-01-2025,11.00,Hisar,Truck,Crossroad,No,Clear,5,No,Green,Weekday,Low,434,34,Normal,Urban Road
Haryana,01-01-2025,11.15,Hisar,Car,Crossroad,No,Sunny,6,No,Amber,Weekday,Low,298,53,Normal,Highway
Haryana,01-01-2025,11.30,Ambala,Truck,Crossroad,No,Sunny,2,No,Green,Weekday,Medium,322,45,Normal,Highway
Haryana,01-01-2025,11.45,Hisar,Bus,Roundabout,No,Cloudy,4,No,Red,Weekday,Severe,378,60,Accident,Urban Road
Haryana,01-01-2025,12.00,Kurukshetra,Bus,Roundabout,No,Rain,3,No,Red,Weekday,Severe,356,66,Normal,Rural Road
Haryana,01-01-2025,12.15,Faridabad,Bus,T-Junction,No,Rain,2,Yes,Red,Weekday,Severe,210,25,Accident,Urban Road
Haryana,01-01-2025,12.30,Karnal,Auto,Crossroad,No,Clear,4,No,Amber,Weekday,Medium,544,42,Accident,Rural Road
Haryana,01-01-2025,12.45,Sonipat,Bus,Roundabout,No,Cloudy,3,Yes,Green,Weekday,Low,471,68,Congested,Urban Road
Haryana,01-01-2025,13.00,Ambala,Auto,T-Junction,No,Fog,3,No,Red,Weekday,High,390,34,Congested,Rural Road
Haryana,01-01-2025,13.15,Kurukshetra,Auto,Crossroad,No,Sunny,2,Yes,Amber,Weekday,High,477,59,Accident,Rural Road
Haryana,01-01-2025,13.30,Kurukshetra,Bus,Crossroad,No,Rain,4,No,Red,Weekday,Severe,317,70,Accident,Urban Road
Haryana,01-01-2025,13.45,Rohtak,Auto,Roundabout,No,Fog,5,Yes,Green,Weekday,High,110,62,Normal,Highway
Haryana,01-01-2025,14.00,Ambala,Bus,T-Junction,No,Rain,4,No,Red,Weekday,High,90,30,Congested,Highway
Haryana,01-01-2025,14.15,Karnal,Two-Wheeler,Roundabout,No,Cloudy,3,No,Green,Weekday,Medium,152,66,Accident,Urban Road
Haryana,01-01-2025,14.30,Ambala,Two-Wheeler,Roundabout,No,Clear,4,No,Amber,Weekday,Low,389,63,Accident,Rural Road
Haryana,01-01-2025,14.45,Rohtak,Truck,Crossroad,No,Cloudy,6,Yes,Amber,Weekday,Low,282,28,Normal,Urban Road
Haryana,01-01-2025,15.00,Karnal,Auto,Roundabout,No,Clear,2,No,Red,Weekday,Low,214,33,Accident,Rural Road
Haryana,01-01-2025,15.15,Kurukshetra,Two-Wheeler,T-Junction,No,Clear,4,No,Red,Weekday,Low,431,47,Accident,Highway
Haryana,01-01-2025,15.30,Gurugram,Auto,T-Junction,No,Cloudy,4,Yes,Amber,Weekday,Severe,450,52,Normal,Highway
Haryana,01-01-2025,15.45,Faridabad,Two-Wheeler,T-Junction,No,Fog,3,No,Amber,Weekday,High,173,52,Normal,Urban Road
Haryana,01-01-2025,16.00,Hisar,Car,T-Junction,No,Sunny,6,No,Green,Weekday,Low,76,69,Accident,Rural Road
Haryana,01-01-2025,16.15,Karnal,Bus,Roundabout,No,Cloudy,2,Yes,Red,Weekday,High,263,44,Accident,Rural Road
Haryana,01-01-2025,16.30,Hisar,Car,T-Junction,No,Rain,2,No,Amber,Weekday,Medium,315,61,Congested,Urban Road
Haryana,01-01-2025,16.45,Yamunanagar,Car,Roundabout,No,Fog,3,Yes,Green,Weekday,Severe,591,43,Normal,Urban Road
